afghanistan,afghanistan,afghan
åland islands,åland islands,åland islanders
albania,albania,albanian
algeria,algeria,algerian
american samoa,american samoa,american samoa
andorra,andorra,andorran
angola,angola,angolan
anguilla,anguilla,anguillan
antarctica,antarctica,antarctican
antigua and barbuda,antigua and barbuda,antiguan
argentina,argentina,argentinian
armenia,armenia,armenian
aruba,aruba,aruban
australia,australia,australian
austria,austria,austrian
azerbaijan,azerbaijan,azerbaijani
bahamas,bahamas,bahamian
bahrain,bahrain,bahraini
bangladesh,bangladesh,bangladeshi
barbados,barbados,barbadian
belarus,belarus,byelorussia
belgium,belgium,belgian
belize,belize,belizean
benin,benin,beninese
bermuda,bermuda,bermudian
bhutan,bhutan,bhutanese
bolivia,bolivia,bolivian
bonaire sint eustatius and saba,caribbean netherlands,bonaire dutch
bosnia and herzegovina,bosnia,bosnian
botswana,botswana,botswanan
bouvet island,bouvet island,bouvetan
brazil,brazil,brazilian
british indian ocean territory,british indian ocean territory,british indian
brunei darussalam,brunei darussalam,bruneian
bulgaria,bulgaria,bulgarian
burkina faso,burkina faso,burkinabe
burundi,burundi,burundian
cambodia,cambodia,cambodian
cameroon,cameroon,cameroonian
canada,canada,canadian
cape verde,cape verde,cape verdean
cayman islands,cayman islands,caymanian
central african republic,central african republic,central african
chad,chad,chadian
chile,chile,chilean
china,china,chinese
christmas island,christmas island,christmas islander
cocos islands,cocos islands,cocos islander
colombia,colombia,colombian
comoros,comoros,comoran
congo,republic of congo,republic of congo
democratic republic of the congo,democratic republic of the congo,democratic republic of the congo
cook islands,cook islands,cook islander
costa rica,costa rica,costa rican
côte d'ivoire,ivory coast,ivorian
croatia,croatia,croat or croatian
cuba,cuba,cuban
curaçao,curaçao,curaçaoans
cyprus,cyprus,cypriot
czech republic,czech republic,czech
denmark,denmark,danish
djibouti,djibouti,djiboutian
dominica,dominica,dominica
dominican republic,dominican republic,dominican
ecuador,ecuador,ecuadorean
egypt,egypt,egyptian
el salvador,el salvador,salvadorean
equatorial guinea,equatorial guinea,equatorial guinean
eritrea,eritrea,eritrean
estonia,estonia,estonian
ethiopia,ethiopia,ethiopian
falkland islands,falkland islands,falkland islander
faroe islands,faroe islands,faroese
fiji,fiji,fijian
finland,finland,finnish
france,france,french
french guiana,french guiana,guianese
french polynesia,french polynesia,polynesian
french southern territories,french southern territories,french southern territories
gabon,gabon,gabonese
gambia,gambia,gambian
georgia,georgia,georgian
germany,germany,german
ghana,ghana,ghanaian
gibraltar,gibraltar,gibraltarian
greece,greece,greek
greenland,greenland,greenlander
grenada,grenada,grenadian
guadeloupe,guadeloupe,guadeloupean
guam,guam,guamanian
guatemala,guatemala,guatemalan
guernsey,guernsey,guernsey
guinea,guinea,guinea
guinea-bissau,guinea-bissau,guinea-bissau
guyana,guyana,guyanese
haiti,haiti,haitian
heard island and mcdonald islands,heard island and mcdonald islands,heard islander
holy see,vatican,vatican resident
honduras,honduras,honduran
hong kong,hong kong,hongkongese
hungary,hungary,hungarian
iceland,iceland,icelandic
india,india,indian
indonesia,indonesia,indonesian
islamic republic of iran,iran,iranian
iraq,iraq,iraqi
ireland,ireland,irishman
isle of man,isle of man,manx
israel,israel,israeli
italy,italy,italian
jamaica,jamaica,jamaican
japan,japan,japanese
jersey,jersey,jersey
jordan,jordan,jordanian
kazakhstan,kazakhstan,kazakh
kenya,kenya,kenyan
kiribati,kiribati,kiribatian
democratic people's republic of korea,north korea,north korean
republic of korea,south korrea,south korean
kuwait,kuwait,kuwaiti
kyrgyzstan,kyrgyzstan,kirgizia
lao people's democratic republic,laos,laotians
latvia,latvia,latvian
lebanon,lebanon,lebanese
lesotho,lesotho,mosotho
liberia,liberia,liberian
libya,libya,libyan
